	1417	0.5
     0	     0	-5216.007869
     1	     1	-5216.707101
     2	     2	-5216.894918
     3	     3	-5217.207326
     4	     4	-5217.475413
     5	     5	-5217.710432
     6	     6	-5217.891711
     7	     7	-5218.383581
     9	     8	-5218.735075
    11	     9	-5219.371814
    14	    10	-5219.533994
    15	    11	-5219.886057
    17	    12	-5220.028701
    19	    13	-5220.132656
    20	    14	-5220.233879
    21	    15	-5220.471238
    22	    16	-5220.522253
    23	    17	-5220.609677
    25	    18	-5220.793840
    26	    19	-5221.178437
    29	    20	-5221.385507
    30	    21	-5221.433433
    32	    22	-5221.722068
    35	    23	-5221.903052
    36	    24	-5222.001902
    37	    25	-5222.102718
    38	    26	-5222.130504
    39	    27	-5222.213564
    40	    28	-5222.285410
    41	    29	-5222.338938
    42	    30	-5222.428831
    43	    31	-5222.567595
    44	    32	-5222.655986
    45	    33	-5222.682481
    47	    34	-5222.771844
    48	    35	-5222.875907
    49	    36	-5222.952414
    52	    37	-5223.102636
    55	    38	-5223.105739
    57	    39	-5223.135237
    58	    40	-5223.136887
    59	    41	-5223.212083
    60	    42	-5223.281880
    62	    43	-5223.291197
    63	    44	-5223.297501
    64	    45	-5223.310553
    66	    46	-5223.353713
    67	    47	-5223.356750
    68	    48	-5223.425096
    72	    49	-5223.429226
    73	    50	-5223.443893
    74	    51	-5223.458940
    75	    52	-5223.461885
    76	    53	-5223.466265
    78	    54	-5223.469017
    79	    55	-5223.473527
    83	    56	-5223.480085
    84	    57	-5223.499227
   184	    57	-5223.499227
   284	    57	-5223.499227
   384	    57	-5223.499227
   484	    57	-5223.499227
   584	    57	-5223.499227
   684	    57	-5223.499227
   784	    57	-5223.499227
   884	    57	-5223.499227
   984	    57	-5223.499227
  1084	    57	-5223.499227
