	443	0.5
     0	     0	-1582.933764
     1	     1	-1583.148037
     2	     2	-1583.278870
     3	     3	-1583.434144
     4	     4	-1583.960386
     5	     5	-1584.130055
     6	     6	-1584.146022
     8	     7	-1584.398569
    10	     8	-1584.690877
    13	     9	-1584.789107
    14	    10	-1584.805783
    15	    11	-1584.825037
    17	    12	-1584.877053
    18	    13	-1584.895374
    19	    14	-1584.956686
    20	    15	-1584.971636
    21	    16	-1585.079418
    22	    17	-1585.166745
    23	    18	-1585.213912
    25	    19	-1585.289316
    26	    20	-1585.353988
    29	    21	-1585.398491
    31	    22	-1585.403426
    32	    23	-1585.412837
    36	    24	-1585.441373
    37	    25	-1585.491982
    39	    26	-1585.513517
    40	    27	-1585.540195
    41	    28	-1585.544555
    46	    29	-1585.567069
    47	    30	-1585.587085
    48	    31	-1585.615944
    49	    32	-1585.618941
    50	    33	-1585.637030
    52	    34	-1585.650131
    53	    35	-1585.659259
    54	    36	-1585.669428
    55	    37	-1585.672381
    56	    38	-1585.673932
    58	    39	-1585.694103
    59	    40	-1585.703724
    60	    41	-1585.706959
    62	    42	-1585.733951
    63	    43	-1585.741123
   163	    43	-1585.741123
   263	    43	-1585.741123
   363	    43	-1585.741123
   463	    43	-1585.741123
   563	    43	-1585.741123
   663	    43	-1585.741123
   763	    43	-1585.741123
   863	    43	-1585.741123
   963	    43	-1585.741123
  1063	    43	-1585.741123
