	443	0.5
     0	     0	-1581.929631
     1	     1	-1582.405983
     2	     2	-1582.651458
     3	     3	-1582.850509
     4	     4	-1583.080672
     5	     5	-1583.126271
     6	     6	-1583.554971
     7	     7	-1583.812795
     8	     8	-1584.413259
     9	     9	-1584.449778
    10	    10	-1584.457776
    13	    11	-1584.503875
    15	    12	-1584.549628
    17	    13	-1584.800997
    20	    14	-1584.815937
    21	    15	-1584.914772
    23	    16	-1584.981822
    25	    17	-1585.098356
    26	    18	-1585.105229
    28	    19	-1585.180426
    30	    20	-1585.247492
    33	    21	-1585.369059
    34	    22	-1585.463124
    35	    23	-1585.480263
    37	    24	-1585.515179
    38	    25	-1585.519612
    39	    26	-1585.528440
    40	    27	-1585.557804
    41	    28	-1585.590548
    43	    29	-1585.645525
    44	    30	-1585.656610
    45	    31	-1585.734771
    48	    32	-1585.750142
    49	    33	-1585.763479
    50	    34	-1585.766654
    52	    35	-1585.773284
    53	    36	-1585.775157
    55	    37	-1585.788238
    65	    38	-1585.794127
   165	    38	-1585.794127
   265	    38	-1585.794127
   365	    38	-1585.794127
   465	    38	-1585.794127
   565	    38	-1585.794127
   665	    38	-1585.794127
   765	    38	-1585.794127
   865	    38	-1585.794127
   965	    38	-1585.794127
  1065	    38	-1585.794127
