	3285	0.2
     0	     0	-12200.954244
     1	     1	-12202.431015
     2	     2	-12203.083311
     3	     3	-12203.613948
     4	     4	-12204.029076
     5	     5	-12204.181403
     6	     6	-12204.274776
     7	     7	-12205.349379
     8	     8	-12205.884570
    10	     9	-12206.035431
    11	    10	-12206.151606
    12	    11	-12206.372251
    13	    12	-12206.595624
    14	    13	-12206.626496
    15	    14	-12207.224314
    16	    15	-12207.514696
    17	    16	-12207.668196
    18	    17	-12207.934816
    19	    18	-12208.223276
    20	    19	-12208.314601
    21	    20	-12208.827348
    22	    21	-12208.830060
    23	    22	-12209.103228
    24	    23	-12209.640424
    26	    24	-12209.667079
    27	    25	-12209.887778
    28	    26	-12210.178713
    29	    27	-12210.517395
    30	    28	-12210.856074
    31	    29	-12210.863340
    32	    30	-12211.138609
    33	    31	-12211.228544
    34	    32	-12211.246809
    35	    33	-12211.480206
    36	    34	-12211.569941
    37	    35	-12211.669409
    38	    36	-12211.831058
    39	    37	-12211.959559
    40	    38	-12212.196630
    41	    39	-12212.482236
    43	    40	-12212.579413
    44	    41	-12212.817566
    45	    42	-12212.906240
    46	    43	-12213.059026
    47	    44	-12213.239791
    48	    45	-12213.427151
    49	    46	-12213.726163
    50	    47	-12213.755948
    51	    48	-12214.040257
    52	    49	-12214.103966
    53	    50	-12214.216666
    54	    51	-12214.627574
    55	    52	-12214.835824
    56	    53	-12214.955102
    57	    54	-12215.252425
    58	    55	-12215.273842
    59	    56	-12215.510498
    60	    57	-12215.532617
    61	    58	-12215.787773
    62	    59	-12215.836270
    63	    60	-12215.982442
    64	    61	-12216.038003
    65	    62	-12216.172514
    66	    63	-12216.494008
    68	    64	-12216.782468
    69	    65	-12216.963189
    70	    66	-12217.141359
    71	    67	-12217.225668
    72	    68	-12217.352131
    74	    69	-12217.506642
    75	    70	-12217.615518
    76	    71	-12217.740783
    77	    72	-12217.782858
    78	    73	-12218.053151
    79	    74	-12218.246705
    80	    75	-12218.367176
    81	    76	-12218.508257
    82	    77	-12218.654527
    83	    78	-12218.768212
    84	    79	-12218.814412
    85	    80	-12218.943316
    86	    81	-12219.161150
    87	    82	-12219.342286
    88	    83	-12219.432770
    89	    84	-12219.571494
    90	    85	-12219.988055
    92	    86	-12220.118796
    93	    87	-12220.207328
    94	    88	-12220.510588
    95	    89	-12220.612782
    96	    90	-12220.645959
    97	    91	-12220.854939
    98	    92	-12221.021655
    99	    93	-12221.120863
   100	    94	-12221.164459
   101	    95	-12221.443503
   102	    96	-12221.640083
   103	    97	-12221.760789
   104	    98	-12221.870396
   105	    99	-12222.208194
   106	   100	-12222.366579
   107	   101	-12222.546823
   108	   102	-12222.584767
   109	   103	-12222.637983
   110	   104	-12222.729626
   111	   105	-12222.828299
   112	   106	-12223.040068
   113	   107	-12223.380142
   115	   108	-12223.510813
   116	   109	-12223.603968
   117	   110	-12223.748898
   118	   111	-12223.937805
   119	   112	-12224.093171
   120	   113	-12224.292474
   121	   114	-12224.421164
   122	   115	-12224.584248
   123	   116	-12224.702078
   124	   117	-12224.783154
   125	   118	-12224.867245
   126	   119	-12225.045823
   127	   120	-12225.205394
   128	   121	-12225.481155
   129	   122	-12225.503487
   130	   123	-12225.637089
   131	   124	-12225.673711
   132	   125	-12225.871555
   133	   126	-12226.107983
   134	   127	-12226.190202
   135	   128	-12226.247268
   136	   129	-12226.492271
   137	   130	-12226.539999
   138	   131	-12226.591420
   139	   132	-12226.753445
   140	   133	-12226.828565
   141	   134	-12226.981014
   142	   135	-12227.201495
   143	   136	-12227.324496
   144	   137	-12227.419996
   145	   138	-12227.502036
   146	   139	-12227.664699
   147	   140	-12228.026706
   148	   141	-12228.213077
   149	   142	-12228.325352
   150	   143	-12228.498186
   151	   144	-12228.644387
   152	   145	-12228.741023
   154	   146	-12228.927265
   155	   147	-12228.983779
   156	   148	-12229.134962
   157	   149	-12229.363713
   158	   150	-12229.538747
   159	   151	-12229.681131
   160	   152	-12229.732565
   161	   153	-12229.781880
   162	   154	-12229.892421
   163	   155	-12230.135031
   164	   156	-12230.253778
   165	   157	-12230.285278
   166	   158	-12230.582844
   167	   159	-12230.657963
   168	   160	-12230.788370
   169	   161	-12230.916146
   170	   162	-12230.969636
   171	   163	-12231.082944
   172	   164	-12231.122214
   173	   165	-12231.220832
   174	   166	-12231.370000
   175	   167	-12231.587372
   176	   168	-12231.680535
   177	   169	-12231.831156
   178	   170	-12232.010264
   179	   171	-12232.077789
   180	   172	-12232.173986
   181	   173	-12232.371134
   182	   174	-12232.386120
   183	   175	-12232.559936
   184	   176	-12232.584924
   185	   177	-12232.696929
   186	   178	-12232.881805
   187	   179	-12232.891622
   188	   180	-12233.001118
   189	   181	-12233.092737
   190	   182	-12233.217233
   191	   183	-12233.298784
   192	   184	-12233.365094
   193	   185	-12233.576610
   194	   186	-12233.599716
   195	   187	-12233.778109
   197	   188	-12233.831251
   198	   189	-12234.012255
   199	   190	-12234.178392
   200	   191	-12234.217424
   201	   192	-12234.397490
   202	   193	-12234.481550
   203	   194	-12234.668996
   204	   195	-12234.825810
   205	   196	-12234.945835
   206	   197	-12235.013456
   207	   198	-12235.098844
   208	   199	-12235.158030
   209	   200	-12235.314001
   210	   201	-12235.380223
   211	   202	-12235.495672
   212	   203	-12235.740018
   213	   204	-12235.766630
   214	   205	-12235.821840
   215	   206	-12235.895214
   216	   207	-12235.923896
   217	   208	-12235.989682
   218	   209	-12236.065606
   219	   210	-12236.237695
   220	   211	-12236.270368
   221	   212	-12236.432032
   222	   213	-12236.534838
   223	   214	-12236.607325
   224	   215	-12236.689414
   225	   216	-12236.786294
   226	   217	-12236.863119
   227	   218	-12237.293022
   228	   219	-12237.373472
   230	   220	-12237.433626
   231	   221	-12237.546130
   232	   222	-12237.618533
   233	   223	-12237.662831
   234	   224	-12237.776857
   235	   225	-12237.934348
   236	   226	-12238.029696
   237	   227	-12238.340460
   238	   228	-12238.354250
   239	   229	-12238.475684
   240	   230	-12238.522619
   241	   231	-12238.810339
   242	   232	-12238.818433
   243	   233	-12238.914206
   245	   234	-12239.074688
   246	   235	-12239.133461
   247	   236	-12239.250386
   248	   237	-12239.376301
   249	   238	-12239.400611
   250	   239	-12239.564081
   251	   240	-12239.727931
   252	   241	-12239.935315
   253	   242	-12240.005209
   254	   243	-12240.066829
   255	   244	-12240.076695
   256	   245	-12240.152214
   257	   246	-12240.266295
   258	   247	-12240.340510
   259	   248	-12240.466816
   260	   249	-12240.514039
   261	   250	-12240.813106
   262	   251	-12240.889962
   263	   252	-12240.912221
   264	   253	-12240.978094
   265	   254	-12241.097008
   266	   255	-12241.315465
   267	   256	-12241.387422
   268	   257	-12241.422416
   269	   258	-12241.460100
   270	   259	-12241.549962
   271	   260	-12241.605520
   272	   261	-12241.721589
   273	   262	-12241.748728
   274	   263	-12241.878958
   275	   264	-12241.929671
   276	   265	-12242.035388
   277	   266	-12242.116602
   278	   267	-12242.283919
   279	   268	-12242.324280
   281	   269	-12242.451125
   282	   270	-12242.478231
   283	   271	-12242.558569
