	443	0.1
     0	     0	-1536.839776
     1	     1	-1538.916060
     2	     2	-1540.029632
     3	     3	-1540.657824
     4	     4	-1541.951102
     5	     5	-1542.350627
     6	     6	-1543.033778
     7	     7	-1543.245803
     8	     8	-1543.829980
     9	     9	-1544.178847
    10	    10	-1544.694825
    11	    11	-1544.976124
    12	    12	-1545.650199
    13	    13	-1546.057514
    14	    14	-1546.375427
    15	    15	-1546.599122
    16	    16	-1546.941814
    17	    17	-1547.249697
    18	    18	-1548.215663
    19	    19	-1548.510122
    21	    20	-1548.843691
    22	    21	-1548.898569
    23	    22	-1549.086426
    24	    23	-1549.175744
    25	    24	-1549.447360
    26	    25	-1549.714612
    27	    26	-1549.738544
    28	    27	-1550.161590
    29	    28	-1550.491014
    30	    29	-1550.500272
    31	    30	-1550.644726
    33	    31	-1550.754027
    34	    32	-1550.976212
    35	    33	-1551.110194
    36	    34	-1551.431921
    37	    35	-1551.445050
    38	    36	-1551.612307
    39	    37	-1551.740921
    40	    38	-1551.857201
    41	    39	-1551.911626
    42	    40	-1551.993577
    43	    41	-1552.018277
    44	    42	-1552.195447
    45	    43	-1552.317660
    46	    44	-1552.391164
    47	    45	-1552.457522
    48	    46	-1552.580713
    49	    47	-1552.676746
    50	    48	-1552.742059
    51	    49	-1552.805584
    52	    50	-1552.833574
    53	    51	-1552.865658
    54	    52	-1552.877827
    55	    53	-1552.917940
    56	    54	-1552.923508
    57	    55	-1552.947886
    58	    56	-1552.996795
    60	    57	-1553.032074
    61	    58	-1553.094196
    62	    59	-1553.104018
    63	    60	-1553.136815
    65	    61	-1553.156382
    66	    62	-1553.184629
    67	    63	-1553.221716
    69	    64	-1553.234717
    70	    65	-1553.254852
    71	    66	-1553.276711
    72	    67	-1553.308270
    73	    68	-1553.329847
    74	    69	-1553.397245
    75	    70	-1553.443367
    76	    71	-1553.457450
    77	    72	-1553.469542
    78	    73	-1553.482039
    79	    74	-1553.501613
    80	    75	-1553.520036
    81	    76	-1553.542370
    82	    77	-1553.569937
    83	    78	-1553.617210
    84	    79	-1553.627771
    85	    80	-1553.642937
    86	    81	-1553.679832
    89	    82	-1553.687122
    90	    83	-1553.731039
    91	    84	-1553.755017
    92	    85	-1553.771534
    93	    86	-1553.775359
    95	    87	-1553.779627
    98	    88	-1553.820875
    99	    89	-1553.825208
   100	    90	-1553.849916
   101	    91	-1553.877165
   102	    92	-1553.893722
   103	    93	-1553.905072
   104	    94	-1553.931641
   105	    95	-1553.942153
   106	    96	-1553.943709
   107	    97	-1553.986572
   108	    98	-1554.018427
   109	    99	-1554.038570
   110	   100	-1554.050540
   111	   101	-1554.062860
   112	   102	-1554.068376
   113	   103	-1554.076321
   114	   104	-1554.093175
   116	   105	-1554.109040
   117	   106	-1554.125496
   120	   107	-1554.130186
   121	   108	-1554.138730
   126	   109	-1554.141249
   161	   110	-1554.142725
   261	   110	-1554.143695
   361	   110	-1554.143695
   461	   110	-1554.143695
   561	   110	-1554.143695
   661	   110	-1554.143695
   761	   110	-1554.143695
   861	   110	-1554.143695
   961	   110	-1554.143695
  1061	   110	-1554.143695
  1161	   110	-1554.143695
