	443	0.3
     0	     0	-1569.942981
     1	     1	-1570.490871
     2	     2	-1570.637275
     3	     3	-1570.781906
     5	     4	-1570.967741
     6	     5	-1571.032967
     7	     6	-1571.168420
     8	     7	-1571.316116
     9	     8	-1571.417998
    10	     9	-1571.674214
    11	    10	-1571.853484
    13	    11	-1572.325498
    15	    12	-1572.343430
    16	    13	-1572.457441
    17	    14	-1572.658703
    18	    15	-1572.850486
    19	    16	-1572.972641
    20	    17	-1573.123962
    21	    18	-1573.346006
    22	    19	-1573.391713
    23	    20	-1573.494568
    24	    21	-1573.669504
    26	    22	-1573.799089
    27	    23	-1573.898420
    28	    24	-1573.980150
    29	    25	-1574.296077
    30	    26	-1574.380768
    31	    27	-1574.514795
    32	    28	-1574.557987
    33	    29	-1574.679308
    34	    30	-1574.859812
    35	    31	-1574.907120
    36	    32	-1575.153464
    38	    33	-1575.186564
    39	    34	-1575.253531
    40	    35	-1575.297237
    41	    36	-1575.317641
    42	    37	-1575.516666
    43	    38	-1575.523485
    44	    39	-1575.598814
    45	    40	-1575.744931
    46	    41	-1575.819061
    47	    42	-1575.938785
    48	    43	-1576.058369
    50	    44	-1576.150650
    51	    45	-1576.291224
    53	    46	-1576.329056
    54	    47	-1576.518556
    55	    48	-1576.635206
    56	    49	-1576.665473
    57	    50	-1576.732624
    58	    51	-1576.806877
    59	    52	-1576.830341
    60	    53	-1576.871139
    61	    54	-1577.009947
    62	    55	-1577.029519
    63	    56	-1577.172636
    65	    57	-1577.223714
    66	    58	-1577.287565
    67	    59	-1577.426215
    68	    60	-1577.547454
    69	    61	-1577.592320
    70	    62	-1577.618585
    71	    63	-1577.739330
    72	    64	-1577.837395
    75	    65	-1577.842261
    76	    66	-1577.912883
    77	    67	-1578.004408
    78	    68	-1578.092339
    79	    69	-1578.190382
    82	    70	-1578.214486
    83	    71	-1578.278309
    84	    72	-1578.316580
    85	    73	-1578.385878
    86	    74	-1578.506662
    87	    75	-1578.550907
    88	    76	-1578.610044
    89	    77	-1578.652853
    90	    78	-1578.658606
    91	    79	-1578.840067
    92	    80	-1578.856232
    93	    81	-1578.876714
    94	    82	-1578.889371
    95	    83	-1578.934881
    96	    84	-1578.973851
    97	    85	-1579.023722
    98	    86	-1579.081776
    99	    87	-1579.178622
   102	    88	-1579.188236
   103	    89	-1579.252289
   104	    90	-1579.258776
   105	    91	-1579.287817
   106	    92	-1579.308198
   107	    93	-1579.326942
   108	    94	-1579.362415
   109	    95	-1579.405930
   110	    96	-1579.429244
   111	    97	-1579.442124
   113	    98	-1579.479629
   114	    99	-1579.513065
   115	   100	-1579.530167
   117	   101	-1579.569306
   119	   102	-1579.575986
   120	   103	-1579.615088
   124	   104	-1579.660137
   125	   105	-1579.665590
   128	   106	-1579.681813
   129	   107	-1579.713755
   131	   108	-1579.728383
   132	   109	-1579.736925
   133	   110	-1579.756378
   136	   111	-1579.781181
   139	   112	-1579.797041
   142	   113	-1579.813941
   149	   114	-1579.830938
   151	   115	-1579.859515
   155	   116	-1579.873500
   156	   117	-1579.876408
   157	   118	-1579.900738
   161	   119	-1579.913866
   162	   120	-1579.938405
   166	   121	-1579.962766
   167	   122	-1579.976629
   175	   123	-1579.993817
   180	   124	-1580.016102
   181	   125	-1580.044734
   191	   126	-1580.051272
   197	   127	-1580.070391
   200	   128	-1580.078975
   207	   129	-1580.082194
   212	   130	-1580.085279
   218	   131	-1580.090069
   220	   132	-1580.103248
   228	   133	-1580.115495
   230	   134	-1580.124330
   249	   135	-1580.132187
   256	   136	-1580.136157
   261	   137	-1580.152319
   264	   138	-1580.159787
   279	   139	-1580.168681
   282	   140	-1580.171959
   323	   141	-1580.175657
   377	   142	-1580.184379
   445	   143	-1580.204379
   457	   144	-1580.207227
   460	   145	-1580.209145
   560	   145	-1580.209145
   565	   146	-1580.211787
   665	   146	-1580.211787
   765	   146	-1580.211787
   865	   146	-1580.211787
   965	   146	-1580.211787
  1065	   146	-1580.211787
  1165	   146	-1580.211787
  1265	   146	-1580.211787
  1365	   146	-1580.211787
  1465	   146	-1580.211787
  1565	   146	-1580.211787
