	443	0.5
     0	     0	-1582.987543
     1	     1	-1583.694853
     2	     2	-1583.708699
     3	     3	-1583.798120
     4	     4	-1583.920681
     5	     5	-1584.142073
     6	     6	-1584.206116
     8	     7	-1584.288269
     9	     8	-1584.440890
    10	     9	-1584.668079
    11	    10	-1584.887624
    12	    11	-1584.937855
    13	    12	-1584.989468
    14	    13	-1585.059693
    15	    14	-1585.203284
    16	    15	-1585.393976
    17	    16	-1585.512927
    18	    17	-1585.631896
    19	    18	-1585.882226
    20	    19	-1586.173713
    23	    20	-1586.465428
    24	    21	-1586.586120
    25	    22	-1586.602838
    26	    23	-1586.627547
    27	    24	-1586.686406
    28	    25	-1586.933981
    29	    26	-1587.158043
    30	    27	-1587.217141
    31	    28	-1587.333809
    32	    29	-1587.434489
    34	    30	-1587.780522
    36	    31	-1588.021171
    37	    32	-1588.112379
    38	    33	-1588.346270
    39	    34	-1588.453645
    40	    35	-1588.481919
    41	    36	-1588.575364
    42	    37	-1588.748071
    43	    38	-1589.017274
    45	    39	-1589.079107
    46	    40	-1589.215899
    47	    41	-1589.256281
    48	    42	-1589.310578
    49	    43	-1589.483236
    50	    44	-1589.505780
    51	    45	-1589.703277
    52	    46	-1589.943281
    54	    47	-1590.080321
    55	    48	-1590.114790
    56	    49	-1590.239738
    57	    50	-1590.305618
    58	    51	-1590.414136
    59	    52	-1590.502789
    60	    53	-1590.587892
    61	    54	-1590.664192
    62	    55	-1590.767396
    63	    56	-1590.804359
    64	    57	-1590.809289
    65	    58	-1590.899243
    66	    59	-1590.909641
    67	    60	-1591.033967
    68	    61	-1591.129715
    69	    62	-1591.154032
    70	    63	-1591.177312
    71	    64	-1591.259195
    72	    65	-1591.329217
    73	    66	-1591.376851
    74	    67	-1591.429956
    75	    68	-1591.517203
    76	    69	-1591.525811
    77	    70	-1591.557448
    78	    71	-1591.620292
    79	    72	-1591.717868
    80	    73	-1591.739799
    82	    74	-1591.843267
    83	    75	-1591.946229
    85	    76	-1591.964547
    86	    77	-1591.992035
    87	    78	-1592.012016
    88	    79	-1592.044204
    89	    80	-1592.110222
    90	    81	-1592.176194
    91	    82	-1592.205273
    92	    83	-1592.234725
    93	    84	-1592.258278
    94	    85	-1592.363051
    95	    86	-1592.407145
    96	    87	-1592.456756
    97	    88	-1592.509489
    98	    89	-1592.525612
    99	    90	-1592.552263
   100	    91	-1592.554246
   101	    92	-1592.576878
   102	    93	-1592.596818
   103	    94	-1592.631272
   104	    95	-1592.674775
   105	    96	-1592.710281
   106	    97	-1592.781844
   107	    98	-1592.833822
   108	    99	-1592.853186
   109	   100	-1592.863988
   110	   101	-1592.905363
   111	   102	-1592.923909
   112	   103	-1592.949638
   113	   104	-1592.972651
   114	   105	-1593.000445
   115	   106	-1593.040076
   116	   107	-1593.064453
   117	   108	-1593.095939
   118	   109	-1593.102707
   119	   110	-1593.148856
   120	   111	-1593.181545
   121	   112	-1593.192240
   122	   113	-1593.196762
   123	   114	-1593.241799
   124	   115	-1593.281484
   126	   116	-1593.284168
   127	   117	-1593.297257
   129	   118	-1593.300188
   130	   119	-1593.318314
   131	   120	-1593.349667
   133	   121	-1593.386666
   137	   122	-1593.394166
   138	   123	-1593.402995
   140	   124	-1593.414971
   141	   125	-1593.429493
   142	   126	-1593.450631
   143	   127	-1593.462867
   144	   128	-1593.481439
   147	   129	-1593.484266
   148	   130	-1593.498509
   149	   131	-1593.507508
   150	   132	-1593.524184
   155	   133	-1593.525300
   158	   134	-1593.530630
   159	   135	-1593.536261
   162	   136	-1593.544495
   163	   137	-1593.553900
   164	   138	-1593.561820
   165	   139	-1593.563206
   169	   140	-1593.572011
   170	   141	-1593.574864
   171	   142	-1593.584640
   172	   143	-1593.597401
   176	   144	-1593.600046
   178	   145	-1593.612242
   181	   146	-1593.613498
   183	   147	-1593.620752
   184	   148	-1593.626448
   189	   149	-1593.630122
   191	   150	-1593.634277
   195	   151	-1593.636908
   196	   152	-1593.648139
   197	   153	-1593.651155
   202	   154	-1593.652586
   203	   155	-1593.654469
   204	   156	-1593.662221
   205	   157	-1593.669319
   215	   158	-1593.672578
   216	   159	-1593.675385
   217	   160	-1593.676813
   219	   161	-1593.678276
   220	   162	-1593.681180
   223	   163	-1593.682605
   229	   164	-1593.696777
   236	   165	-1593.697998
   254	   166	-1593.699122
   257	   167	-1593.707338
   258	   168	-1593.709882
   260	   169	-1593.714098
   270	   170	-1593.718711
   272	   171	-1593.720889
   276	   172	-1593.723293
   291	   173	-1593.727740
   304	   174	-1593.739733
   305	   175	-1593.744871
   309	   176	-1593.750744
   317	   177	-1593.751791
   326	   178	-1593.753979
   329	   179	-1593.767379
   355	   180	-1593.779444
   361	   181	-1593.786967
   363	   182	-1593.788747
   368	   183	-1593.794448
   374	   184	-1593.800637
   381	   185	-1593.802023
