	443	0.6
     0	     0	-1562.149406
     1	     1	-1564.934317
     2	     2	-1565.703755
     3	     3	-1566.436257
     4	     4	-1567.386702
     5	     5	-1568.298529
     6	     6	-1568.951951
     7	     7	-1569.884871
     8	     8	-1570.635702
     9	     9	-1571.150363
    10	    10	-1571.998650
    11	    11	-1573.143085
    12	    12	-1573.392722
    13	    13	-1574.038336
    14	    14	-1574.761563
    15	    15	-1575.214648
    16	    16	-1575.519915
    17	    17	-1575.993396
    18	    18	-1576.723788
    19	    19	-1576.980423
    20	    20	-1577.552559
    21	    21	-1577.996373
    22	    22	-1578.479164
    23	    23	-1578.888137
    24	    24	-1579.246275
    25	    25	-1579.409256
    26	    26	-1580.338138
    28	    27	-1581.026403
    29	    28	-1581.316319
    30	    29	-1581.403165
    31	    30	-1581.826067
    32	    31	-1582.098943
    33	    32	-1582.933924
    34	    33	-1583.092275
    35	    34	-1583.405919
    36	    35	-1583.785527
    37	    36	-1584.195155
    38	    37	-1584.461867
    39	    38	-1584.620659
    40	    39	-1584.970453
    41	    40	-1585.208023
    42	    41	-1585.743664
    43	    42	-1586.199125
    44	    43	-1586.697131
    45	    44	-1586.740988
    46	    45	-1587.067157
    47	    46	-1587.336967
    48	    47	-1587.823489
    49	    48	-1588.008724
    50	    49	-1588.436647
    51	    50	-1588.565286
    52	    51	-1588.818330
    53	    52	-1588.934897
    54	    53	-1589.206824
    55	    54	-1589.237114
    56	    55	-1589.447840
    57	    56	-1589.615587
    58	    57	-1589.961665
    59	    58	-1590.053902
    60	    59	-1590.378600
    61	    60	-1590.606452
    63	    61	-1590.806634
    64	    62	-1590.978784
    65	    63	-1591.180479
    66	    64	-1591.464698
    67	    65	-1591.509658
    68	    66	-1591.586078
    69	    67	-1591.765168
    70	    68	-1591.818789
    71	    69	-1592.017564
    72	    70	-1592.147029
    73	    71	-1592.278895
    74	    72	-1592.320018
    75	    73	-1592.445564
    76	    74	-1592.518401
    77	    75	-1592.787324
    78	    76	-1592.911735
    79	    77	-1592.970936
    80	    78	-1593.168533
    81	    79	-1593.476838
    82	    80	-1593.585506
    83	    81	-1593.706863
    84	    82	-1593.723442
    85	    83	-1593.834582
    86	    84	-1593.907985
    87	    85	-1593.931206
    88	    86	-1593.957013
    89	    87	-1594.103110
    90	    88	-1594.126741
    91	    89	-1594.323618
    92	    90	-1594.352709
    93	    91	-1594.444851
    94	    92	-1594.514260
    95	    93	-1594.659444
    96	    94	-1594.715512
    97	    95	-1594.759650
    98	    96	-1594.830958
    99	    97	-1594.881712
   100	    98	-1594.917203
   101	    99	-1595.004885
   102	   100	-1595.083958
   103	   101	-1595.119492
   104	   102	-1595.276463
   105	   103	-1595.327079
   106	   104	-1595.337654
   107	   105	-1595.351106
   108	   106	-1595.416352
   109	   107	-1595.458417
   110	   108	-1595.557046
   111	   109	-1595.622677
   112	   110	-1595.631911
   113	   111	-1595.695554
