	443	0.6
     0	     0	-1556.943246
     1	     1	-1559.358414
     2	     2	-1559.914016
     3	     3	-1561.272711
     4	     4	-1561.970005
     5	     5	-1563.158844
     6	     6	-1564.152133
     7	     7	-1564.597274
     8	     8	-1565.303457
     9	     9	-1565.797565
    10	    10	-1566.680238
    11	    11	-1566.693465
    12	    12	-1567.115604
    13	    13	-1567.755392
    14	    14	-1567.988636
    15	    15	-1569.152874
    17	    16	-1569.604486
    18	    17	-1570.415663
    19	    18	-1570.699615
    20	    19	-1571.066979
    21	    20	-1571.540758
    22	    21	-1572.339078
    23	    22	-1572.397815
    24	    23	-1573.052952
    25	    24	-1573.760320
    26	    25	-1573.777894
    27	    26	-1574.212666
    28	    27	-1574.488104
    29	    28	-1575.092125
    30	    29	-1575.517907
    31	    30	-1575.907908
    32	    31	-1576.197609
    33	    32	-1576.572474
    34	    33	-1576.719829
    35	    34	-1577.303127
    36	    35	-1577.755188
    37	    36	-1578.172299
    38	    37	-1578.411469
    39	    38	-1578.729099
    40	    39	-1579.027937
    41	    40	-1579.356251
    42	    41	-1579.690889
    43	    42	-1580.090447
    44	    43	-1580.305870
    45	    44	-1580.640742
    46	    45	-1580.877022
    47	    46	-1581.116173
    48	    47	-1581.260971
    49	    48	-1581.793624
    50	    49	-1582.078701
    51	    50	-1582.161946
    52	    51	-1582.406875
    53	    52	-1582.470306
    54	    53	-1582.800097
    55	    54	-1582.896175
    56	    55	-1583.525037
    57	    56	-1583.648191
    58	    57	-1583.892986
    59	    58	-1584.017601
    60	    59	-1584.042429
    61	    60	-1584.339308
    62	    61	-1584.716294
    63	    62	-1584.894184
    64	    63	-1585.186419
    65	    64	-1585.317463
    66	    65	-1585.520751
    67	    66	-1585.875293
    68	    67	-1586.107850
    69	    68	-1586.562049
    70	    69	-1586.567870
    71	    70	-1586.680760
    72	    71	-1587.011268
    73	    72	-1587.253128
    74	    73	-1587.573413
    75	    74	-1587.618241
    76	    75	-1587.867531
    77	    76	-1588.028001
    78	    77	-1588.176886
    79	    78	-1588.262684
    80	    79	-1588.436944
    81	    80	-1588.591625
    82	    81	-1589.057863
    83	    82	-1589.098062
    84	    83	-1589.444769
    85	    84	-1589.524463
    86	    85	-1589.782283
    87	    86	-1589.897090
    88	    87	-1590.085565
    89	    88	-1590.199164
    90	    89	-1590.471233
    91	    90	-1590.619561
    92	    91	-1590.854600
    93	    92	-1590.906681
    94	    93	-1591.029689
    95	    94	-1591.049322
    96	    95	-1591.220767
    97	    96	-1591.328914
    98	    97	-1591.614444
    99	    98	-1591.673419
   100	    99	-1591.869393
   101	   100	-1591.884171
   102	   101	-1592.175322
   103	   102	-1592.249697
   104	   103	-1592.317929
   105	   104	-1592.440584
   106	   105	-1592.520180
   107	   106	-1592.677404
   108	   107	-1592.850332
   109	   108	-1592.898191
   110	   109	-1592.989660
   111	   110	-1593.080469
   112	   111	-1593.180898
   113	   112	-1593.325148
   114	   113	-1593.379199
   115	   114	-1593.409123
   116	   115	-1593.529619
   117	   116	-1593.634242
   118	   117	-1593.715983
   119	   118	-1593.945759
   120	   119	-1593.999821
   121	   120	-1594.053890
   122	   121	-1594.088514
   123	   122	-1594.164687
   124	   123	-1594.235282
   125	   124	-1594.311914
   126	   125	-1594.326953
   127	   126	-1594.431088
   128	   127	-1594.501689
   129	   128	-1594.584978
   130	   129	-1594.651028
   131	   130	-1594.725193
   133	   131	-1594.845109
   134	   132	-1595.020858
   135	   133	-1595.159566
   137	   134	-1595.198825
   138	   135	-1595.225165
   139	   136	-1595.335549
   140	   137	-1595.430123
   141	   138	-1595.475443
   142	   139	-1595.510303
   143	   140	-1595.551657
   144	   141	-1595.664576
   145	   142	-1595.707300
   147	   143	-1595.745793
   148	   144	-1595.756760
   149	   145	-1595.853173
   150	   146	-1595.897111
   151	   147	-1595.953559
   152	   148	-1595.973121
   153	   149	-1596.044841
   154	   150	-1596.133440
   155	   151	-1596.163449
   156	   152	-1596.222901
   157	   153	-1596.273982
   158	   154	-1596.345717
   159	   155	-1596.363941
   160	   156	-1596.411713
   162	   157	-1596.495933
   163	   158	-1596.565932
   164	   159	-1596.580866
   165	   160	-1596.616810
   166	   161	-1596.684624
   167	   162	-1596.746990
   168	   163	-1596.764778
   169	   164	-1596.843656
   170	   165	-1596.865845
   171	   166	-1596.913759
   172	   167	-1596.941703
   173	   168	-1596.980624
   174	   169	-1597.014279
   175	   170	-1597.083898
   177	   171	-1597.112310
   178	   172	-1597.162419
   179	   173	-1597.174302
   180	   174	-1597.232321
   181	   175	-1597.243499
   182	   176	-1597.262255
   183	   177	-1597.283137
   184	   178	-1597.289640
   185	   179	-1597.324572
   187	   180	-1597.350447
   188	   181	-1597.397700
   189	   182	-1597.419825
   190	   183	-1597.430705
   191	   184	-1597.466569
   192	   185	-1597.488325
   193	   186	-1597.497133
   194	   187	-1597.508430
   195	   188	-1597.535700
   196	   189	-1597.577835
   197	   190	-1597.623634
   198	   191	-1597.659432
   199	   192	-1597.671401
   200	   193	-1597.693600
   201	   194	-1597.701048
   202	   195	-1597.736553
   203	   196	-1597.752841
   204	   197	-1597.817658
   205	   198	-1597.841416
   207	   199	-1597.858635
   208	   200	-1597.882172
   209	   201	-1597.896153
   210	   202	-1597.905959
   211	   203	-1597.922968
   212	   204	-1597.946597
   213	   205	-1597.955468
   215	   206	-1597.958349
   216	   207	-1597.975879
   217	   208	-1597.981664
   219	   209	-1598.007724
   220	   210	-1598.010305
   222	   211	-1598.012326
   223	   212	-1598.038478
   224	   213	-1598.054171
   226	   214	-1598.055553
   229	   215	-1598.073061
   230	   216	-1598.095979
   233	   217	-1598.138256
   234	   218	-1598.145692
   236	   219	-1598.166256
   238	   220	-1598.171709
   240	   221	-1598.196833
   241	   222	-1598.202579
   244	   223	-1598.217927
   245	   224	-1598.223958
   248	   225	-1598.226499
   252	   226	-1598.237661
   253	   227	-1598.252912
   254	   228	-1598.259286
   256	   229	-1598.261401
   257	   230	-1598.265313
   258	   231	-1598.273885
   259	   232	-1598.280278
   260	   233	-1598.290590
   261	   234	-1598.301109
   262	   235	-1598.311422
   263	   236	-1598.323842
   264	   237	-1598.331829
   267	   238	-1598.336806
   270	   239	-1598.355675
   272	   240	-1598.366975
   283	   241	-1598.373290
   288	   242	-1598.374313
   289	   243	-1598.375583
   290	   244	-1598.381671
   294	   245	-1598.391189
   296	   246	-1598.417475
   297	   247	-1598.422333
   298	   248	-1598.423373
   303	   249	-1598.430800
   332	   250	-1598.436771
   335	   251	-1598.440052
   336	   252	-1598.444260
   349	   253	-1598.449950
   350	   254	-1598.453870
   355	   255	-1598.455173
   358	   256	-1598.464409
   359	   257	-1598.465727
   367	   258	-1598.474035
   372	   259	-1598.475508
   377	   260	-1598.485910
   381	   261	-1598.488548
   397	   262	-1598.491418
   398	   263	-1598.498150
   399	   264	-1598.511592
   401	   265	-1598.513089
   402	   266	-1598.518310
   423	   267	-1598.521147
   467	   268	-1598.525324
   468	   269	-1598.526367
   469	   270	-1598.529352
   490	   271	-1598.530596
   533	   272	-1598.531813
   541	   273	-1598.538421
   546	   274	-1598.543294
   646	   274	-1598.543294
   661	   275	-1598.547542
   679	   276	-1598.551194
   779	   276	-1598.551194
   879	   276	-1598.551194
   936	   277	-1598.552999
   945	   278	-1598.560070
   951	   279	-1598.565691
  1027	   280	-1598.572484
  1046	   281	-1598.574529
  1099	   282	-1598.577142
  1144	   283	-1598.578154
  1146	   284	-1598.583868
  1155	   285	-1598.588789
  1186	   286	-1598.601003
  1192	   287	-1598.602222
  1225	   288	-1598.608709
  1325	   288	-1598.608709
  1399	   289	-1598.610483
  1499	   289	-1598.611368
  1530	   290	-1598.613034
  1531	   291	-1598.623937
  1631	   291	-1598.624542
  1689	   292	-1598.626193
  1789	   292	-1598.627180
  1823	   293	-1598.630016
  1923	   293	-1598.630016
  2023	   293	-1598.630342
  2123	   293	-1598.630342
  2223	   293	-1598.630342
  2323	   293	-1598.630342
  2423	   293	-1598.630342
  2523	   293	-1598.630532
  2593	   294	-1598.631866
  2693	   294	-1598.632118
  2793	   294	-1598.632118
  2855	   295	-1598.634276
  2955	   295	-1598.634276
  3055	   295	-1598.634276
  3155	   295	-1598.634276
  3255	   295	-1598.634276
  3355	   295	-1598.634276
  3455	   295	-1598.634276
  3555	   295	-1598.634276
  3655	   295	-1598.634276
  3755	   295	-1598.634276
  3855	   295	-1598.634276
