	443	0.7
     0	     0	-1588.077281
     1	     1	-1588.376851
     2	     2	-1588.609716
     3	     3	-1588.854704
     4	     4	-1589.072339
     5	     5	-1589.511042
     6	     6	-1589.530662
     7	     7	-1589.633502
     9	     8	-1589.858694
    10	     9	-1589.872389
    11	    10	-1590.040440
    12	    11	-1590.648116
    13	    12	-1590.796038
    14	    13	-1590.876336
    15	    14	-1591.080300
    17	    15	-1591.140885
    18	    16	-1591.361230
    19	    17	-1591.444703
    20	    18	-1591.688954
    21	    19	-1591.694902
    22	    20	-1591.859497
    23	    21	-1591.996457
    24	    22	-1592.164479
    25	    23	-1592.229363
    26	    24	-1592.523908
    27	    25	-1592.554938
    28	    26	-1592.785038
    29	    27	-1592.993466
    31	    28	-1593.183492
    32	    29	-1593.457023
    33	    30	-1593.554728
    34	    31	-1594.001579
    35	    32	-1594.166804
    36	    33	-1594.217891
    37	    34	-1594.274974
    38	    35	-1594.280177
    39	    36	-1594.499497
    40	    37	-1594.561461
    41	    38	-1594.785460
    42	    39	-1594.929123
    43	    40	-1595.082896
    44	    41	-1595.214882
    45	    42	-1595.339943
    46	    43	-1595.537982
    47	    44	-1595.627437
    48	    45	-1595.632649
    49	    46	-1595.817221
    50	    47	-1595.952995
    53	    48	-1596.077751
    54	    49	-1596.127771
    55	    50	-1596.334420
    56	    51	-1596.499935
    57	    52	-1596.567089
    58	    53	-1596.737818
    59	    54	-1596.807007
    60	    55	-1596.919891
    61	    56	-1596.992685
    62	    57	-1597.117164
    63	    58	-1597.225342
    64	    59	-1597.272073
    65	    60	-1597.368234
    66	    61	-1597.446204
    67	    62	-1597.482521
    68	    63	-1597.659063
    69	    64	-1597.842391
    70	    65	-1597.966138
    72	    66	-1597.984972
    73	    67	-1598.048427
    74	    68	-1598.122331
    75	    69	-1598.139153
    76	    70	-1598.154925
    77	    71	-1598.354808
    80	    72	-1598.396803
    81	    73	-1598.472299
    82	    74	-1598.500559
    83	    75	-1598.576923
    84	    76	-1598.640858
    85	    77	-1598.705492
    86	    78	-1598.732092
    87	    79	-1598.747498
    88	    80	-1598.790619
    89	    81	-1598.842429
    90	    82	-1598.886552
    91	    83	-1598.928332
    92	    84	-1598.958906
    93	    85	-1599.034909
    94	    86	-1599.056801
    95	    87	-1599.104612
    96	    88	-1599.115995
    97	    89	-1599.136214
    98	    90	-1599.205000
    99	    91	-1599.249567
   100	    92	-1599.265072
   101	    93	-1599.296515
   102	    94	-1599.359548
   103	    95	-1599.414382
   104	    96	-1599.452268
   105	    97	-1599.455979
   106	    98	-1599.504134
   107	    99	-1599.557741
   108	   100	-1599.612892
   109	   101	-1599.635617
   110	   102	-1599.669327
   111	   103	-1599.694968
   112	   104	-1599.737487
   113	   105	-1599.761369
   114	   106	-1599.792283
   115	   107	-1599.802276
   116	   108	-1599.848602
   118	   109	-1599.919807
   119	   110	-1599.920843
   121	   111	-1599.944554
   122	   112	-1599.982112
   123	   113	-1599.991475
   124	   114	-1599.994605
   125	   115	-1600.053735
   126	   116	-1600.087925
   127	   117	-1600.100723
   128	   118	-1600.109377
   129	   119	-1600.134901
   130	   120	-1600.141314
   133	   121	-1600.145320
   134	   122	-1600.166525
   135	   123	-1600.178009
   136	   124	-1600.184700
   137	   125	-1600.201829
   139	   126	-1600.202969
   140	   127	-1600.214358
   141	   128	-1600.260378
   142	   129	-1600.281516
   144	   130	-1600.296506
   147	   131	-1600.309202
   148	   132	-1600.310853
   149	   133	-1600.325353
   150	   134	-1600.347364
   152	   135	-1600.357143
   154	   136	-1600.380098
   156	   137	-1600.384581
   157	   138	-1600.390008
   158	   139	-1600.422407
   159	   140	-1600.426381
   160	   141	-1600.432113
   161	   142	-1600.441337
   164	   143	-1600.459334
   166	   144	-1600.474345
   167	   145	-1600.489760
   168	   146	-1600.492843
   169	   147	-1600.503025
   174	   148	-1600.549416
   175	   149	-1600.552463
   177	   150	-1600.554854
   178	   151	-1600.561963
   179	   152	-1600.594062
   180	   153	-1600.608592
   181	   154	-1600.613720
   186	   155	-1600.625424
   191	   156	-1600.631269
   192	   157	-1600.637025
   195	   158	-1600.648804
   199	   159	-1600.665929
   200	   160	-1600.682400
   211	   161	-1600.683713
   213	   162	-1600.688599
   214	   163	-1600.690165
   215	   164	-1600.693666
   217	   165	-1600.709355
   225	   166	-1600.722001
   229	   167	-1600.723274
   233	   168	-1600.724277
   234	   169	-1600.743429
   242	   170	-1600.752417
   247	   171	-1600.753819
   248	   172	-1600.759653
   261	   173	-1600.774312
   262	   174	-1600.779674
   263	   175	-1600.783003
   274	   176	-1600.785787
   283	   177	-1600.798823
   286	   178	-1600.804738
   297	   179	-1600.813285
   298	   180	-1600.816666
   351	   181	-1600.821773
   365	   182	-1600.825641
   389	   183	-1600.833022
   390	   184	-1600.845546
   391	   185	-1600.859426
   402	   186	-1600.860530
   409	   187	-1600.862425
   434	   188	-1600.866243
   469	   189	-1600.870597
   479	   190	-1600.872561
   495	   191	-1600.875724
   511	   192	-1600.877723
   517	   193	-1600.881361
   518	   194	-1600.886243
   549	   195	-1600.888659
   599	   196	-1600.890914
   645	   197	-1600.899721
   667	   198	-1600.906549
   678	   199	-1600.909417
   778	   199	-1600.909417
   800	   200	-1600.911366
   844	   201	-1600.913345
   944	   201	-1600.913375
  1044	   201	-1600.913375
  1144	   201	-1600.913375
  1244	   201	-1600.913375
  1344	   201	-1600.913375
  1444	   201	-1600.913412
  1544	   201	-1600.913412
  1644	   201	-1600.913412
  1744	   201	-1600.913412
  1844	   201	-1600.913416
