	443	0.9
     0	     0	-1573.589727
     1	     1	-1575.111091
     2	     2	-1575.986070
     3	     3	-1576.905466
     4	     4	-1577.562952
     5	     5	-1578.019762
     6	     6	-1578.397336
     7	     7	-1578.749017
     8	     8	-1579.311336
     9	     9	-1579.793729
    10	    10	-1580.091500
    11	    11	-1580.564566
    12	    12	-1581.003806
    13	    13	-1581.557590
    14	    14	-1582.098813
    15	    15	-1582.738098
    16	    16	-1583.036931
    17	    17	-1583.428386
    18	    18	-1583.592599
    19	    19	-1584.188428
    20	    20	-1584.285182
    21	    21	-1584.654490
    22	    22	-1584.873258
    23	    23	-1585.047042
    24	    24	-1585.271280
    25	    25	-1585.717716
    26	    26	-1586.024323
    27	    27	-1586.205313
    28	    28	-1586.329784
    29	    29	-1586.656003
    30	    30	-1586.873161
    31	    31	-1586.999518
    32	    32	-1587.468978
    33	    33	-1587.623683
    34	    34	-1587.784591
    35	    35	-1588.283789
    36	    36	-1588.362493
    37	    37	-1588.742503
    38	    38	-1588.933355
    39	    39	-1589.040743
    40	    40	-1589.153245
    41	    41	-1589.431668
    42	    42	-1589.609992
    43	    43	-1589.805765
    44	    44	-1589.864387
    45	    45	-1589.996807
    46	    46	-1590.102648
    47	    47	-1590.351647
    48	    48	-1590.510150
    49	    49	-1590.583292
    50	    50	-1590.593227
    51	    51	-1590.778106
    52	    52	-1590.805679
    53	    53	-1591.003621
    54	    54	-1591.059652
    55	    55	-1591.139141
    56	    56	-1591.231773
    58	    57	-1591.314921
    59	    58	-1591.438476
    60	    59	-1591.495310
    61	    60	-1591.499461
    62	    61	-1591.531028
    63	    62	-1591.536519
    67	    63	-1591.572066
    68	    64	-1591.593654
    70	    65	-1591.642823
    71	    66	-1591.646310
    73	    67	-1591.648109
    74	    68	-1591.709763
    75	    69	-1591.730447
    78	    70	-1591.733525
    79	    71	-1591.736788
    83	    72	-1591.740678
    84	    73	-1591.744364
    86	    74	-1591.749076
    87	    75	-1591.782255
    96	    76	-1591.799920
   101	    77	-1591.829058
   108	    78	-1591.842130
   114	    79	-1591.849437
   115	    80	-1591.858393
   116	    81	-1591.865636
   123	    82	-1591.870259
   128	    83	-1591.894183
   137	    84	-1591.902761
   144	    85	-1591.910930
   145	    86	-1591.917272
   148	    87	-1591.935571
   152	    88	-1591.940123
   157	    89	-1591.953880
   158	    90	-1591.958239
   171	    91	-1591.980434
   200	    92	-1591.982208
   203	    93	-1591.984914
   303	    93	-1591.984914
   338	    94	-1591.990774
   342	    95	-1592.007217
   345	    96	-1592.009492
   346	    97	-1592.016090
   359	    98	-1592.020873
   421	    99	-1592.036570
   521	    99	-1592.036570
   621	    99	-1592.036570
   721	    99	-1592.036570
   821	    99	-1592.036570
   921	    99	-1592.036570
  1021	    99	-1592.036570
  1121	    99	-1592.036570
  1221	    99	-1592.036570
  1321	    99	-1592.036570
  1421	    99	-1592.036570
