	443	0.9
     0	     0	-1573.802943
     1	     1	-1575.534037
     2	     2	-1576.654642
     3	     3	-1577.092071
     4	     4	-1577.997772
     5	     5	-1578.477915
     6	     6	-1579.473548
     7	     7	-1579.905048
     8	     8	-1580.309475
     9	     9	-1580.751988
    10	    10	-1581.272619
    11	    11	-1581.865722
    12	    12	-1582.105362
    13	    13	-1582.632892
    14	    14	-1583.049397
    15	    15	-1583.385594
    16	    16	-1583.726187
    17	    17	-1583.998404
    18	    18	-1584.412366
    19	    19	-1584.631003
    20	    20	-1584.906407
    21	    21	-1585.229987
    22	    22	-1585.497618
    23	    23	-1586.110529
    24	    24	-1586.305241
    25	    25	-1586.503460
    26	    26	-1586.546536
    27	    27	-1586.926645
    28	    28	-1587.011342
    29	    29	-1587.317718
    30	    30	-1587.489299
    31	    31	-1587.596285
    32	    32	-1587.650194
    33	    33	-1587.911041
    34	    34	-1588.219018
    35	    35	-1588.284140
    36	    36	-1588.499140
    37	    37	-1588.748980
    38	    38	-1589.099937
    40	    39	-1589.302432
    41	    40	-1589.445914
    42	    41	-1589.600018
    43	    42	-1589.733894
    44	    43	-1589.848868
    45	    44	-1590.011341
    46	    45	-1590.080983
    47	    46	-1590.246330
    48	    47	-1590.363493
    49	    48	-1590.373484
    50	    49	-1590.632849
    51	    50	-1590.661856
    52	    51	-1590.774130
    53	    52	-1590.822284
    56	    53	-1590.878016
    57	    54	-1590.944533
    58	    55	-1590.985368
    59	    56	-1591.053826
    60	    57	-1591.066647
    61	    58	-1591.149275
    62	    59	-1591.162365
    63	    60	-1591.201587
    64	    61	-1591.212886
    65	    62	-1591.248221
    66	    63	-1591.293511
    67	    64	-1591.334713
    68	    65	-1591.379184
    70	    66	-1591.452162
    71	    67	-1591.508618
    73	    68	-1591.518850
    75	    69	-1591.533388
    76	    70	-1591.537897
    77	    71	-1591.557482
    78	    72	-1591.587560
    79	    73	-1591.610407
    84	    74	-1591.622681
    85	    75	-1591.638632
    86	    76	-1591.658815
    87	    77	-1591.662595
    88	    78	-1591.682776
    89	    79	-1591.698543
    92	    80	-1591.706564
    93	    81	-1591.711351
    95	    82	-1591.721417
    96	    83	-1591.746397
   105	    84	-1591.778462
   116	    85	-1591.781340
   117	    86	-1591.784824
   118	    87	-1591.791350
   124	    88	-1591.812173
   125	    89	-1591.816793
   127	    90	-1591.819518
   129	    91	-1591.832546
   131	    92	-1591.843130
   135	    93	-1591.851316
   136	    94	-1591.855794
   137	    95	-1591.860360
   142	    96	-1591.862066
   149	    97	-1591.870154
   150	    98	-1591.872547
   151	    99	-1591.883335
   189	   100	-1591.896569
   191	   101	-1591.899333
   193	   102	-1591.901080
   197	   103	-1591.907536
   199	   104	-1591.915366
   207	   105	-1591.925230
   208	   106	-1591.926728
   230	   107	-1591.934034
   280	   108	-1591.935416
   281	   109	-1591.950915
   308	   110	-1591.955096
   408	   110	-1591.955096
   508	   110	-1591.955096
   608	   110	-1591.955096
   616	   111	-1591.961095
   716	   111	-1591.961095
   816	   111	-1591.961095
   916	   111	-1591.961095
  1016	   111	-1591.961095
  1054	   112	-1591.962344
  1154	   112	-1591.962344
  1254	   112	-1591.962344
  1354	   112	-1591.962344
  1454	   112	-1591.962344
  1554	   112	-1591.962344
  1654	   112	-1591.962344
  1754	   112	-1591.962344
  1854	   112	-1591.962344
  1954	   112	-1591.962344
  2054	   112	-1591.962344
