	443	0.9
     0	     0	-1585.219539
     1	     1	-1585.462927
     2	     2	-1585.472272
     3	     3	-1585.826702
     4	     4	-1586.069973
     5	     5	-1586.318976
     7	     6	-1586.369848
     8	     7	-1586.654784
     9	     8	-1586.794203
    10	     9	-1586.891749
    11	    10	-1587.160724
    12	    11	-1587.344870
    13	    12	-1587.724281
    14	    13	-1587.946839
    15	    14	-1588.171765
    16	    15	-1588.238458
    17	    16	-1588.529360
    18	    17	-1588.760704
    19	    18	-1588.787442
    20	    19	-1589.063370
    21	    20	-1589.071210
    22	    21	-1589.129824
    23	    22	-1589.168308
    24	    23	-1589.598534
    25	    24	-1589.756331
    26	    25	-1589.805290
    28	    26	-1589.970257
    29	    27	-1590.084534
    30	    28	-1590.254944
    31	    29	-1590.271057
    32	    30	-1590.301309
    33	    31	-1590.305706
    34	    32	-1590.499734
    35	    33	-1590.516736
    36	    34	-1590.637625
    37	    35	-1590.859762
    38	    36	-1591.047310
    40	    37	-1591.166231
    41	    38	-1591.215964
    42	    39	-1591.260528
    43	    40	-1591.288058
    44	    41	-1591.360809
    45	    42	-1591.362214
    46	    43	-1591.455106
    50	    44	-1591.488067
    51	    45	-1591.508945
    52	    46	-1591.530562
    53	    47	-1591.544489
    54	    48	-1591.553170
    55	    49	-1591.615662
    58	    50	-1591.653228
    59	    51	-1591.675717
    63	    52	-1591.704661
    65	    53	-1591.732673
    68	    54	-1591.760128
    69	    55	-1591.772460
    70	    56	-1591.787921
    71	    57	-1591.801279
    75	    58	-1591.806880
    79	    59	-1591.824071
    80	    60	-1591.858893
    81	    61	-1591.876106
   121	    62	-1591.897602
   124	    63	-1591.899688
   145	    64	-1591.902220
   170	    65	-1591.911759
   236	    66	-1591.921505
   239	    67	-1591.925858
   251	    68	-1591.930146
   261	    69	-1591.934131
   295	    70	-1591.936377
   395	    70	-1591.936420
   420	    71	-1591.944082
   429	    72	-1591.946268
   431	    73	-1591.952791
   443	    74	-1591.960094
   543	    74	-1591.960094
   643	    74	-1591.960094
   739	    75	-1591.982365
   839	    75	-1591.982365
   939	    75	-1591.982365
  1039	    75	-1591.982365
  1139	    75	-1591.982365
  1239	    75	-1591.982365
  1339	    75	-1591.982365
  1439	    75	-1591.982365
  1539	    75	-1591.982365
  1639	    75	-1591.982365
  1739	    75	-1591.982365
